code=1043, textureId=0, prespace=0, width=13, advance=13, top=(313, 53), bottom=(326, 66)
code=1044, textureId=0, prespace=0, width=13, advance=13, top=(326, 53), bottom=(339, 66)
code=1045, textureId=0, prespace=0, width=13, advance=13, top=(339, 53), bottom=(352, 66)
code=1046, textureId=0, prespace=0, width=13, advance=13, top=(352, 53), bottom=(365, 66)
code=1047, textureId=0, prespace=0, width=13, advance=13, top=(365, 53), bottom=(378, 66)
code=1048, textureId=0, prespace=0, width=13, advance=13, top=(378, 53), bottom=(391, 66)
code=1049, textureId=0, prespace=0, width=13, advance=13, top=(391, 53), bottom=(404, 66)
code=1050, textureId=0, prespace=0, width=13, advance=13, top=(404, 53), bottom=(417, 66)
code=1051, textureId=0, prespace=0, width=13, advance=13, top=(417, 53), bottom=(430, 66)
code=1052, textureId=0, prespace=0, width=13, advance=13, top=(430, 53), bottom=(443, 66)
code=1053, textureId=0, prespace=0, width=13, advance=13, top=(443, 53), bottom=(456, 66)
code=1054, textureId=0, prespace=0, width=13, advance=13, top=(456, 53), bottom=(469, 66)
code=1055, textureId=0, prespace=0, width=13, advance=13, top=(469, 53), bottom=(482, 66)
code=1056, textureId=0, prespace=0, width=13, advance=13, top=(482, 53), bottom=(495, 66)
code=1057, textureId=0, prespace=0, width=13, advance=13, top=(495, 53), bottom=(508, 66)
code=1058, textureId=0, prespace=0, width=13, advance=13, top=(1, 66), bottom=(14, 79)
code=1059, textureId=0, prespace=0, width=13, advance=13, top=(14, 66), bottom=(27, 79)
code=1060, textureId=0, prespace=0, width=13, advance=13, top=(27, 66), bottom=(40, 79)
code=1061, textureId=0, prespace=0, width=13, advance=13, top=(40, 66), bottom=(53, 79)
code=1062, textureId=0, prespace=0, width=13, advance=13, top=(53, 66), bottom=(66, 79)
code=1063, textureId=0, prespace=0, width=13, advance=13, top=(66, 66), bottom=(79, 79)
code=1064, textureId=0, prespace=0, width=13, advance=13, top=(79, 66), bottom=(92, 79)
code=1065, textureId=0, prespace=0, width=13, advance=13, top=(92, 66), bottom=(105, 79)
code=1066, textureId=0, prespace=0, width=13, advance=13, top=(105, 66), bottom=(118, 79)
